Starting Clean Replay...
.......................................................................................................................................................................................................
Done! Processed 19999 data rows
Time,Alt,PosN,PosE,V_Up,V_N,V_E,Zenith,BrakePct
14781.3926,0.0751,-0.1231,-0.1863,0.1198,-0.0055,-0.0089,5.0040,0.0000
14781.4033,0.0763,-0.1231,-0.1863,0.1214,-0.0055,-0.0090,4.9456,0.0000
14781.4131,0.0775,-0.1232,-0.1864,0.1228,-0.0055,-0.0089,4.8549,0.0000
14781.4229,-0.0009,-0.1232,-0.1864,-0.0104,-0.0054,-0.0088,135.2500,0.0000
14781.4326,-0.0010,-0.1232,-0.1864,-0.0089,-0.0053,-0.0088,131.1013,0.0000
14781.4434,-0.0011,-0.1232,-0.1865,-0.0075,-0.0050,-0.0088,126.4920,0.0000
14781.4531,-0.0011,-0.1233,-0.1865,-0.0061,-0.0048,-0.0089,120.9961,0.0000
14781.4629,-0.0420,-0.1233,-0.1866,-0.0734,-0.0047,-0.0089,172.2125,0.0000
14781.4727,-0.0427,-0.1233,-0.1866,-0.0719,-0.0046,-0.0090,172.0196,0.0000
14781.4834,-0.0434,-0.1233,-0.1867,-0.0704,-0.0046,-0.0090,171.7876,0.0000
14781.4932,-0.0441,-0.1234,-0.1867,-0.0689,-0.0049,-0.0090,171.5254,0.0000
14781.5029,-0.0536,-0.1234,-0.1868,-0.0821,-0.0050,-0.0091,172.8215,0.0000
14781.5127,-0.0544,-0.1234,-0.1868,-0.0806,-0.0051,-0.0090,172.6638,0.0000
14781.5234,-0.0552,-0.1234,-0.1868,-0.0791,-0.0051,-0.0090,172.5726,0.0000
14781.5332,-0.0560,-0.1235,-0.1869,-0.0777,-0.0050,-0.0089,172.5197,0.0000
14781.5430,-0.0270,-0.1235,-0.1869,-0.0262,-0.0051,-0.0088,158.7848,0.0000
14781.5527,-0.0272,-0.1235,-0.1870,-0.0247,-0.0053,-0.0087,157.5786,0.0000
14781.5635,-0.0275,-0.1235,-0.1870,-0.0230,-0.0052,-0.0087,156.2357,0.0000
14781.5732,-0.0277,-0.1236,-0.1871,-0.0214,-0.0051,-0.0087,154.7512,0.0000
14781.5830,-0.0268,-0.1236,-0.1871,-0.0180,-0.0049,-0.0086,151.1550,0.0000
14781.5928,-0.0270,-0.1236,-0.1872,-0.0165,-0.0047,-0.0087,149.1093,0.0000
14781.6025,-0.0272,-0.1236,-0.1872,-0.0149,-0.0045,-0.0087,146.8773,0.0000
14781.6133,-0.0273,-0.1237,-0.1872,-0.0134,-0.0044,-0.0086,144.1861,0.0000
14781.6230,-0.0383,-0.1237,-0.1873,-0.0301,-0.0043,-0.0085,162.3820,0.0000
14781.6328,-0.0386,-0.1237,-0.1873,-0.0286,-0.0044,-0.0085,161.5137,0.0000
14781.6426,-0.0388,-0.1237,-0.1874,-0.0272,-0.0045,-0.0085,160.5697,0.0000
14781.6533,-0.0391,-0.1237,-0.1874,-0.0257,-0.0047,-0.0085,159.3723,0.0000
14781.6631,-0.0130,-0.1238,-0.1875,0.0202,-0.0048,-0.0085,25.7994,0.0000
14781.6729,-0.0128,-0.1238,-0.1875,0.0217,-0.0050,-0.0085,24.4270,0.0000
14781.6826,-0.0126,-0.1238,-0.1875,0.0232,-0.0051,-0.0085,23.1938,0.0000
14781.6934,-0.0123,-0.1238,-0.1876,0.0248,-0.0051,-0.0085,21.8205,0.0000
14781.7031,-0.0016,-0.1239,-0.1876,0.0440,-0.0051,-0.0084,12.5665,0.0000
14781.7129,-0.0012,-0.1239,-0.1877,0.0455,-0.0050,-0.0082,11.9318,0.0000
14781.7227,-0.0007,-0.1239,-0.1877,0.0469,-0.0048,-0.0082,11.4429,0.0000
14781.7334,-0.0002,-0.1239,-0.1877,0.0484,-0.0047,-0.0081,11.0261,0.0000
14781.7432,0.0002,-0.1240,-0.1878,0.0499,-0.0047,-0.0082,10.6696,0.0000
14781.7529,0.0007,-0.1240,-0.1878,0.0514,-0.0045,-0.0081,10.2680,0.0000
14781.7627,0.0013,-0.1240,-0.1879,0.0528,-0.0044,-0.0082,10.0228,0.0000
14781.7822,-0.0275,-0.1241,-0.1880,0.0056,-0.0080,-0.0154,72.0918,0.0000
14781.7910,-0.0274,-0.1241,-0.1880,0.0070,-0.0039,-0.0074,49.9876,0.0000
14781.7998,-0.0273,-0.1241,-0.1881,0.0085,-0.0040,-0.0073,44.4793,0.0000
14781.8076,-0.0273,-0.1241,-0.1881,0.0098,-0.0037,-0.0064,36.9079,0.0000
14781.8164,-0.0138,-0.1242,-0.1881,0.0335,-0.0038,-0.0063,12.4766,0.0000
14781.8242,-0.0135,-0.1242,-0.1882,0.0347,-0.0038,-0.0063,12.0488,0.0000
14781.8340,-0.0131,-0.1242,-0.1882,0.0363,-0.0051,-0.0079,14.6128,0.0000
14781.8428,-0.0128,-0.1242,-0.1882,0.0376,-0.0048,-0.0072,12.9537,0.0000
